Timestamp,Utterance,Type
00:10:04.860 --> 00:10:05.430, yeah,Conversation
00:10:14.250 --> 00:10:15.810, yo yeah,Conversation
00:10:18.450 --> 00:10:19.500, Yes,Conversation
00:10:51.330 --> 00:10:52.350, Yes^ yes,Conversation
00:10:53.460 --> 00:10:54.090, This right,Conversation
00:10:54.360 --> 00:10:54.690,yeah,Conversation
00:10:56.910 --> 00:10:58.530, yeah Anyway^ thank you for,Conversation
00:10:59.580 --> 00:11:00.360, Thank you for,Conversation
00:11:01.110 --> 00:11:04.200, Getting the data for your project,Conversation
00:11:05.910 --> 00:11:06.480, Thank you,Conversation
00:11:09.690 --> 00:11:11.520, Can we stop this meeting,Conversation
00:11:11.970 --> 00:11:12.630,Stopping,Conversation
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
