Utterance,Type,,,,,,,,,,,,,,,,,,,,
yep,Conversation,,,,,,,,,,,,,,,,,,,,
here,Conversation,,,,,,,,,,,,,,,,,,,,
Okay,Conversation,,,,,,,,,,,,,,,,,,,,
So it is not the option even^ I have to give you one now,Conversation,,,,,,,,,,,,,,,,,,,,
yeah,Conversation,,,,,,,,,,,,,,,,,,,,
I think I have one,Conversation,,,,,,,,,,,,,,,,,,,,
thing,Conversation,,,,,,,,,,,,,,,,,,,,
Okay,Conversation,,,,,,,,,,,,,,,,,,,,
My name,Conversation,,,,,,,,,,,,,,,,,,,,
that's it,Conversation,,,,,,,,,,,,,,,,,,,,
Right,Conversation,,,,,,,,,,,,,,,,,,,,
yeah,Conversation,,,,,,,,,,,,,,,,,,,,
that's it,Conversation,,,,,,,,,,,,,,,,,,,,
yeah,Conversation,,,,,,,,,,,,,,,,,,,,
Okay,Conversation,,,,,,,,,,,,,,,,,,,,
yeah for this game^ or shall we start with other,Conversation,,,,,,,,,,,,,,,,,,,,
yeah we should we can start the other one,Conversation,,,,,,,,,,,,,,,,,,,,
Okay^ yes^ and in this game^ let me show you the other leg,Conversation,,,,,,,,,,,,,,,,,,,,
Okay,Conversation,,,,,,,,,,,,,,,,,,,,
I got I just got out of it,Conversation,,,,,,,,,,,,,,,,,,,,
yeah I,Conversation,,,,,,,,,,,,,,,,,,,,
mean,Conversation,,,,,,,,,,,,,,,,,,,,
notice again,Conversation,,,,,,,,,,,,,,,,,,,,
I just want to get out of this,Conversation,,,,,,,,,,,,,,,,,,,,
at midnight^ no it's not working okay let's,Conversation,,,,,,,,,,,,,,,,,,,,
Do,Conversation,,,,,,,,,,,,,,,,,,,,
That,Conversation,,,,,,,,,,,,,,,,,,,,
Okay^ let me share this link again,Conversation,,,,,,,,,,,,,,,,,,,,
Okay,Conversation,,,,,,,,,,,,,,,,,,,,
Yes,Conversation,,,,,,,,,,,,,,,,,,,,
hmm,Conversation,,,,,,,,,,,,,,,,,,,,
You know that was dead,Conversation,,,,,,,,,,,,,,,,,,,,
Yes,Conversation,,,,,,,,,,,,,,,,,,,,
yeah,Conversation,,,,,,,,,,,,,,,,,,,,
Okay^ so we had to do a straight line in this^ so if if one person to a line like in a diagonal way or a straight line so that person when they should be three,Instruction,,,,,,,,,,,,,,,,,,,,
Three characters of us,Instruction,,,,,,,,,,,,,,,,,,,,
In one single line,Instruction,,,,,,,,,,,,,,,,,,,,
Okay,Conversation,,,,,,,,,,,,,,,,,,,,
So yeah this is here,Conversation,,,,,,,,,,,,,,,,,,,,
Thank you^ Mr Jones yes,Conversation,,,,,,,,,,,,,,,,,,,,
Yes,Conversation,,,,,,,,,,,,,,,,,,,,
let's play one more game,Conversation,,,,,,,,,,,,,,,,,,,,
Yes,Conversation,,,,,,,,,,,,,,,,,,,,
Okay,Conversation,,,,,,,,,,,,,,,,,,,,
Okay now it's done,Conversation,,,,,,,,,,,,,,,,,,,,
We got $6^000,Conversation,,,,,,,,,,,,,,,,,,,,
yeah okay so,Conversation,,,,,,,,,,,,,,,,,,,,
yeah so yeah,Conversation,,,,,,,,,,,,,,,,,,,,
yeah,Conversation,,,,,,,,,,,,,,,,,,,,
So I did,Conversation,,,,,,,,,,,,,,,,,,,,
The reason of me winning and you're losing is this regarding because of the rules or experience are,Strategy,,,,,,,,,,,,,,,,,,,,
The Jenny re experience,Conversation,,,,,,,,,,,,,,,,,,,,
I did not mind the roles I hope not yeah,Conversation,,,,,,,,,,,,,,,,,,,,
Okay^ so,Conversation,,,,,,,,,,,,,,,,,,,,
You on the games,Conversation,,,,,,,,,,,,,,,,,,,,
I knew and the money also,Conversation,,,,,,,,,,,,,,,,,,,,
yeah it doesn't Okay^ so let me,Conversation,,,,,,,,,,,,,,,,,,,,
I,Conversation,,,,,,,,,,,,,,,,,,,,
mean obviously fighting,Conversation,,,,,,,,,,,,,,,,,,,,
