Utterance,Type
Okay^ I guess i'll just have to give you that,Conversation
Okay okay,Conversation
not bad^ I think the one I saw was this,Conversation
doesn't give you yeah yeah,Conversation
That doesn't give me,Conversation
so bad move on my part okay now i'm gonna have to all right^ I think,Conversation
I think this is the smallest one yeah,Conversation
I think these days it's better to just,Conversation
Give,Conversation
To get a masters in a more stuff wise feel I don't know like I said,Conversation
Maybe focus it on focus on software development,Conversation
It looks like i'm gonna have to give me the rest^ I think you've got this round,Conversation
i'm a quick learner,Conversation
Thirteen,Conversation
Okay awesome,Conversation
Okay play again more,Conversation
One more,Conversation
Oh yeah,Conversation
yeah i'm starting in the fall hopefully i'm planning on getting the masters and I hear you empty^ but from what I was looking at what,Conversation
seemed it seemed narrow enough that it didn't have that same,Conversation
issue that you were talking about,Conversation
Well^ that field is blowing up it's a ton of jobs lots of research opportunities^ depending on what you want to do,Conversation
seems exciting,Conversation
Interesting shape here,Conversation
We almost have like perfect symmetry,Conversation
Ah^ so perfect,Conversation
Like literally one click might do the entire,Conversation
God i'd love to see the,Conversation
algorithm for this computer replaces,Conversation
See you were giving me one,Conversation
i'm giving you one I hope it works out for me,Conversation
Okay,Conversation
That seems to be yeah,Conversation
wow,Conversation
Literally,Conversation
I literally like one this click fills the entire board we played this,Conversation
Okay,Conversation
Okay^ I can't do anything here^ I have to take that,Conversation
I think the rest is yours^ I don't see around this,Conversation
huh,Conversation
hear,Conversation
Anything I feel in a straight,Conversation
Line okay I don't see any way to prevent okay,Conversation
Maybe,Conversation
we'll play a,Conversation
Good game,Conversation
and,Conversation
that's an interesting word,Conversation
yeah that was that was,Conversation
it's all about creating those patterns and hold it into it okay So what do you think is three pretty good^ or should we play a few more,Conversation
I think we got them again got enough for these three right,Conversation
I agree,Conversation
Okay okay,Conversation
awesome so let me^ let me I said I know you recommended a game that i'm not all that familiar with^ so let me look,Conversation
down^ yes^ and then^ if you can explain the,Conversation
You can explain that to me,Conversation
Of course we can we can play that long So here we go right^ you can still see my screen,Conversation
Right yeah again okay okay,Conversation
There we go,Conversation
Alright alright play with friends all right^ let me put this on here we go copy^ let me put it on chat,Conversation
There we go,Conversation
john the game,Conversation
See,Conversation
On in,Conversation
Okay,Conversation
So this is,Conversation
This is this game is called connect for so what you're going to do is every,Instruction
Turn it's,Instruction
Counting down so i'm gonna go ahead^ every turn^ you have to click a column^ and it drops down to the bottom spot I can go,Instruction
So your goal is to connect four dots in a row and we're trying to stop each other from doing it and the main aspect here is that it works^ the graphics you don't get to just choose the spot and the grid,Instruction
Also it drops down through the whole thing,Instruction
yeah and it to the last spot at the barn I can go yeah,Instruction
Okay^ I get it so connect four circles together,Instruction
So the first to do that is the winner,Instruction
and which we kind of go like,Conversation
me directly,Conversation
and go up and down Left and Right and,Conversation
sideways,Conversation
Okay,Conversation
Okay^ I think I understand,Conversation
awesome,Conversation
This,Conversation
What are you getting close there,Conversation
you're almost there,Conversation
i've got three right there,Conversation
Oh okay that makes sense^ OK OK OK,Conversation
OK Hello all right^ that makes sense^ so we all right now I get to try again,Conversation
Now you understand the concept^ a little bit more yeah,Conversation
For sure,Conversation
got,Conversation
It looks like we alternate terms and going first okay,Instruction
Okay^ so I can't allow that during,Conversation
Almost gotcha okay okay,Conversation
Thank you for step ladder,Conversation
I can do vertical to,Conversation
Vertical and diagonal right,Conversation
hmm okay so,Conversation
Let me try the oh die okay so,Conversation
geez okay awesome,Conversation
it's the same concept like you know the game that you,Conversation
Like trying to,Conversation
Make your person to a wrong mess,Conversation
or wrong^ so okay so,Conversation
Okay Okay^ so I go first here all right gotcha,Conversation
see that stepladder effect is really critical,Strategy
That is sneaky sneaky okay,Conversation
All right^ wow you're getting the hang of it^ though you're getting there it's good,Conversation
Okay^ all right^ thank you^ oh it's so much,Conversation
more interesting,Conversation
Can just give me another draw possibly if nobody makes up for,Conversation
Yes^ if we filled the board without anyone connecting forward^ then that would be a draw,Instruction
Okay gotcha,Conversation
No can do that,Conversation
can't get you too many times,Conversation
interesting,Conversation
This thing should have some background music,Conversation
Right and some good like smooth jazz or something,Conversation
Oh so close,Conversation
I didn't even see it,Conversation
Okay^ how about one more heaven I think it's good enough,Conversation
awesome this this game moves a bit faster than the other one,Conversation
Does excellent Okay^ but hey I got better that's been,Conversation
instantly lose yeah yeah you're I could see that you^ you know you're looking at a few steps ahead,Conversation
Oh^ you almost got me there,Conversation
Oh^ I forgot that was over there,Conversation
Okay,Conversation
Nice,Conversation
Good game,Conversation
Good game good game,Conversation
awesome okay,Conversation
All right,Conversation
I think that's the end of screen sharing,Conversation
I think that's all we need to see right,Conversation
yeah I think so,Conversation
let's stop awesome Okay^ no let's look at our instructions,Conversation
We stop the recording,Conversation
um yeah,Conversation
yeah,Conversation
So here let's do this let's take a little 10 minute break once I stopped the recording the online,Conversation
It needs like about 1015 minutes to process the video and put it,Conversation
Up okay oh yeah how about in about 1015 minutes just be back here sounds good or snack or something,Conversation
yeah sounds good,Conversation
Alright C,Conversation
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
