Utterance,Type,,,,,,,,,,,,,,,,,
I think again con this right,Conversation,,,,,,,,,,,,,,,,,
Well yeah 5678,Conversation,,,,,,,,,,,,,,,,,
If I give away eat,Conversation,,,,,,,,,,,,,,,,,
Then,Conversation,,,,,,,,,,,,,,,,,
i'll have 1234567,Conversation,,,,,,,,,,,,,,,,,
So,Conversation,,,,,,,,,,,,,,,,,
Now I get everything right yes,Conversation,,,,,,,,,,,,,,,,,
Okay Okay^ and you have,Conversation,,,,,,,,,,,,,,,,,
A,Conversation,,,,,,,,,,,,,,,,,
Solid like How does it work like the Is it the slot or do you have to pay smart to get this I,Strategy,,,,,,,,,,,,,,,,,
Think I just think it's just laugh at the end we use some brains^ but initial stage it's just luck,Strategy,,,,,,,,,,,,,,,,,
yeah I mean,Conversation,,,,,,,,,,,,,,,,,
I mean just,Conversation,,,,,,,,,,,,,,,,,
go with that lines,Conversation,,,,,,,,,,,,,,,,,
yeah okay yeah it was fun playing with you,Conversation,,,,,,,,,,,,,,,,,
yeah and see how the,Conversation,,,,,,,,,,,,,,,,,
text comes up and then let you know,Conversation,,,,,,,,,,,,,,,,,
