Utterance,Type
yeah,Conversation
And it,Conversation
would happen,Conversation
I don't know,Conversation
yeah,Conversation
yeah and the Dom until and the next one,Conversation
yeah,Conversation
and the next one,Conversation
yeah I think that,Conversation
you're done^ you have to give the next one,Conversation
Oh^ I have to get there,Conversation
Oh^ my God,Conversation
Okay,Conversation
The last,Conversation
The last one yeah yeah,Conversation
Okay,Conversation
Okay,Conversation
yeah,Conversation
score is six,Conversation
Okay,Conversation
My school is one month,Conversation
Right yeah,Conversation
i'm done with my time it's,Conversation
OK,Conversation
OK,Conversation
Now i'm going to,Conversation
Okay^ the last right corner room yeah vertical line,Conversation
yeah I have give you another chance oh yeah go,Conversation
Okay,Conversation
come to the two squares,Conversation
yeah,Conversation
You asked,Conversation
Oh^ my God my story,Conversation
My God^ I thought okay i'm going to do,Conversation
it's my,Conversation
it's my turn towards,Conversation
The,Conversation
Top the first one right side talk,Conversation
No^ no^ no^ the last one yeah vertical line yeah,Conversation
You have for lunch room,Conversation
So yeah then go,Conversation
yeah yeah,Conversation
Okay,Conversation
well,Conversation
My score is low,Conversation
yeah my score is six,Conversation
name,Conversation
became my class,Conversation
Okay^ I think I had one game,Conversation
Okay^ we have to,Conversation
divide screen and i'll draw those tackling,Conversation
Can you see my screen,Conversation
Sorry for the different,Conversation
yeah I,Conversation
Can you see my screen now have,Conversation
A bad actor,Conversation
Then I will be the winner,Conversation
And it's you and me one game one game,Conversation
yeah,Conversation
yeah,Conversation
you'd like to go,Conversation
Yes,Conversation
Would you like to start again,Conversation
yeah,Conversation
yeah,Conversation
what's happening,Conversation
yeah okay all right one oh right right on yeah oh,Conversation
Okay,Conversation
we're gonna keep it to,Conversation
Then i'm going to be,Conversation
Oh,Conversation
yeah okay,Conversation
I know,Conversation
yeah it's done,Conversation
yeah then with these,Conversation
Good evening,Conversation
Okay yeah,Conversation
I think gleaner,Conversation
fun one game^ you are living on for another gambino,Conversation
Name i'm the experience and second me and you are the experienced,Conversation
Why have a session is done,Conversation
All the best for this for this subject,Conversation
yeah,Conversation
hey David^ I have to stop the recording,Conversation
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
