Utterance,Type
 Why is it your turn game,Conversation
 yeah because^ once you,Conversation
 You know^ it gives you any sales,Conversation
 get another^ you have to also,Conversation
 You know^ provide one more,Conversation
 One more here for the opening here,Conversation
 it's your turn now,Conversation
 dang,Conversation
 Nice Nice,Conversation
 Good man,Conversation
 To do one more time,Conversation
Your turn,Conversation
 Your turn,Conversation
 Okay it's my turn oh,Conversation
 Oh okay,Conversation
 Oh,Conversation
 He didn't draw any line,Conversation
here,Conversation
 This,Conversation
 Your turn,Conversation
 My turn is,Conversation
 won't be won the game,Conversation
 Alright congratulation there,Conversation
 Okay^ thanks,Conversation
 All right^ let's play another game,Conversation
Yes,Conversation
 Which one check checkers,Conversation
 tic TAC toe,Conversation
 Okay i'll send you the link,Conversation
 Okay,Conversation
 Is that the link,Conversation
 yep I mean,Conversation
 All right,Conversation
 let's start,Conversation
 The game,Conversation
 Yes,Conversation
my tongue,Conversation
 Luke says enlightenment,Conversation
Okay,Conversation
 so nice circle your cross,Conversation
 Your time,Conversation
 play one more time,Conversation
 One more time,Conversation
Right,Conversation
 play again,Conversation
 Your turn,Conversation
Okay,Conversation
 Alright^ one more time^ I think we should be done,Conversation
 Can I get one more time,Conversation
 Oh^ this is what,Conversation
 Alright^ I think this would be,Conversation
 We can,Conversation
 end the game,Conversation
 and call it a day,Conversation
 Okay,Conversation
 I think,Conversation
 will be good,Conversation
 All right^ take care bye bye,Conversation
 Okay bye bye,Conversation
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
